quotes,authors
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome
It always seems impossible until it's done.,Nelson Mandela
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll
Start where you are. Use what you have. Do what you can.,Arthur Ashe
"When something is important enough, you do it even if the odds are not in your favor.",Elon Musk
With the new day comes new strength and new thoughts.,Eleanor Roosevelt
Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.,Samuel Beckett
Only I can change my life. No one can do it for me.,Carol Burnett
Don't watch the clock; do what it does. Keep going.,Sam Levenson
"If you can dream it, you can do it.",Walt Disney
"Aim for the moon. If you miss, you may hit a star.",W. Clement Stone
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn
"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.",John D. Rockefeller
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,Ken Venturi
A good plan violently executed now is better than a perfect plan executed next week.,George S. Patton
"Problems are not stop signs, they are guidelines.",Robert H. Schuller
Knowing is not enough; we must apply. Willing is not enough; we must do.,Johann Wolfgang von Goethe
"Quality is not an act, it is a habit.",Aristotle
"Change your life today. Don't gamble on the future, act now, without delay.",Simone de Beauvoir
"In order to succeed, we must first believe that we can.",Nikos Kazantzakis
Be kind whenever possible. It is always possible.,Dalai Lama
"Where there is a will, there is a way. If there is a chance in a million that you can do something, anything, to keep what you want from ending, do it. Pry the door open or, if need be, wedge your foot in that door and keep it open.",Pauline Kael
"There is only one corner of the universe you can be certain of improving, and that's your own self.",Aldous Huxley
"Set your goals high, and don't stop till you get there.",Bo Jackson
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford
"If you fell down yesterday, stand up today.",H. G. Wells
Motivation is the art of getting people to do what you want them to do because they want to do it.,Dwight D. Eisenhower
"When you reach the end of your rope, tie a knot in it and hang on.",Franklin D. Roosevelt
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot
"Opportunity does not knock, it presents itself when you beat down the door.",Kyle Chandler
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino
"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.",Pope John XXIII
"Look up at the stars and not down at your feet. Try to make sense of what you see, and wonder about what makes the universe exist. Be curious.",Stephen Hawking
"If you're going through hell, keep going.",Winston Churchill
The secret of getting ahead is getting started.,Mark Twain
No bird soars too high if he soars with his own wings.,William Blake
You will never win if you never begin.,Helen Rowland
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.,Mark Caine
Well done is better than well said.,Benjamin Franklin
Every exit is an entry somewhere else.,Tom Stoppard
You simply have to put one foot in front of the other and keep going. Put blinders on and plow right ahead.,George Lucas
You just can't beat the person who never gives up.,Babe Ruth
"Either I will find a way, or I will make one.",Philip Sidney
"Decide what you want, decide what you are willing to exchange for it. Establish your priorities and go to work.",H. L. Hunt
"Without hard work, nothing grows but weeds.",Gordon B. Hinckley
It does not matter how slowly you go as long as you do not stop.,Confucius
"I learned that we can do anything, but we can't do everything... at least not at the same time. So think of your priorities not in terms of what activities you do, but when you do them. Timing is everything.",Dan Millman
"By failing to prepare, you are preparing to fail.",Benjamin Franklin
"The will to succeed is important, but what's more important is the will to prepare.",Bobby Knight
"You can never quit. Winners never quit, and quitters never win.",Ted Turner
Perseverance is failing 19 times and succeeding the 20th.,Julie Andrews
"I can, therefore I am.",Simone Weil
