quotes,authors
"Once you replace negative thoughts with positive ones, you'll start having positive results.",Willie Nelson
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",Lyndon B. Johnson
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos
"Live life to the fullest, and focus on the positive.",Matt Cameron
I think anything is possible if you have the mindset and the will and desire to do it and put the time in.,Roger Clemens
The most important thing is to try and inspire people so that they can be great in whatever they want to do.,Kobe Bryant
"A strong, positive self-image is the best possible preparation for success.",Joyce Brothers
"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.",Demi Lovato
Every day brings new choices.,Martha Beck
It's a wonderful thing to be optimistic. It keeps you healthy and it keeps you resilient.,Daniel Kahneman
"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.",Leah LaBelle
"I truly believe that everything that we do and everyone that we meet is put in our path for a purpose. There are no accidents; we're all teachers - if we're willing to pay attention to the lessons we learn, trust our positive instincts and not be afraid to take risks or wait for some miracle to come knocking at our door.",Marla Gibbs
"Always Do Your Best. Your best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. Under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.",Don Miguel Ruiz
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen
"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you.",Tony Dorsett
A good laugh is sunshine in the house.,William Makepeace Thackeray
Your smile will give you a positive countenance that will make people feel comfortable around you.,Les Brown
"Work hard, stay positive, and get up early. It's the best part of the day.","George Allen, Sr."
"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.",Pat Riley
Delete the negative; accentuate the positive!,Donna Karan
"The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.",Christopher McCandless
"When you wake up every day, you have two choices. You can either be positive or negative; an optimist or a pessimist. I choose to be an optimist. It's all a matter of perspective.",Harvey Mackay
The person who can bring the spirit of laughter into a room is indeed blessed.,Bennett Cerf
"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.",Allen Klein
"Positive feelings come from being honest about yourself and accepting your personality, and physical characteristics, warts and all; and, from belonging to a family that accepts you without question.",Willard Scott
Always turn a negative situation into a positive situation.,Michael Jordan
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",John Wooden
You cannot have a positive life and a negative mind.,Joyce Meyer
"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.",Joel Osteen
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar
"I believe in karma, and I believe if you put out positive vibes to everybody, that's all you're going to get back.",Kesha
Today or any day that phone may ring and bring good news.,Ethel Waters
Don't let people disrespect you. My mom says don't open the door to the devil. Surround yourself with positive people.,"Cuba Gooding, Jr."
Positive anything is better than negative nothing.,Elbert Hubbard
"Correction does much, but encouragement does more.",Johann Wolfgang von Goethe
My optimism wears heavy boots and is loud.,Henry Rollins
I do believe we're all connected. I do believe in positive energy. I do believe in the power of prayer. I do believe in putting good out into the world. And I believe in taking care of each other.,Harvey Fierstein
My purpose: to lift your spirit and to motivate you.,Mavis Staples
"I surround myself with positive, productive people of good will and decency.",Ted Nugent
"The best thing to do when you find yourself in a hurting or vulnerable place is to surround yourself with the strongest, finest, most positive people you know.",Kristin Armstrong
Say and do something positive that will help the situation; it doesn't take any brains to complain.,Robert A. Cook
"You are the sum total of everything you've ever seen, heard, eaten, smelled, been told, forgot - it's all there. Everything influences each of us, and because of that I try to make sure that my experiences are positive.",Maya Angelou
"When you are enthusiastic about what you do, you feel this positive energy. It's very simple.",Paulo Coelho
"You're going to go through tough times - that's life. But I say, 'Nothing happens to you, it happens for you.' See the positive in negative events.",Joel Osteen
"Find a place inside where there's joy, and the joy will burn out the pain.",Joseph Campbell
"My dear friend, clear your mind of cant.",Samuel Johnson
Keep your face to the sunshine and you cannot see a shadow.,Helen Keller
I think a lot of times we don't pay enough attention to people with a positive attitude because we assume they are naive or stupid or unschooled.,Amy Adams
I often think that the night is more alive and more richly colored than the day.,Vincent Van Gogh
"A positive attitude is something everyone can work on, and everyone can learn how to employ it.",Joan Lunden
"Trust in dreams, for in them is hidden the gate to eternity.",Khalil Gibran
Believe that life is worth living and your belief will help create the fact.,William James
I like to encourage people to realize that any action is a good action if it's proactive and there is positive intent behind it.,Michael J. Fox
In order to carry a positive action we must develop here a positive vision.,Dalai Lama
I'm looking forward to influencing others in a positive way. My message is you can do anything if you just put your mind to it.,Justin Bieber
"That's my gift. I let that negativity roll off me like water off a duck's back. If it's not positive, I didn't hear it. If you can overcome that, fights are easy.",George Foreman
"People deal too much with the negative, with what is wrong. Why not try and see positive things, to just touch those things and make them bloom?",Thich Nhat Hanh
It takes but one positive thought when given a chance to survive and thrive to overpower an entire army of negative thoughts.,Robert H. Schuller
